"","authorID","AU","AF","groupID","match_name","matchID","similarity","confidence","university","department","postal_code","country","address","RP_address","RI","OI","EM","UT","author_order","refID","PT","PY","PU"
"125",125,"Russell, AE","Russell, Ann E.",125,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"F-3153-2017","0000-0001-5410-3361",NA,"WOS:000434856800028",1,25,"J","2018",NA
"163",163,"Russell, AE","Russell, Ann E.",125,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"F-3153-2017","0000-0001-5410-3361",NA,"WOS:000414241400007",1,36,"J","2017",NA
"342",342,"Russell, AE","Russell, Ann E.",125,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"F-3153-2017","0000-0001-5410-3361",NA,"WOS:000339418400013",1,89,"J","2014",NA
"580",580,"Russell, AE","Russell, Ann E.",125,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"F-3153-2017","0000-0001-5410-3361",NA,"WOS:000306291400064",1,151,"J","2012",NA
"611",611,"Russell, AE","Russell, Ann E.",125,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"F-3153-2017","0000-0001-5410-3361",NA,"WOS:000295501400009",5,161,"J","2011",NA
"689",689,"Russell, AE","Russell, Ann E.",125,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"F-3153-2017","0000-0001-5410-3361",NA,"WOS:000278865200015",1,182,"J","2010",NA
"763",763,"Russell, AE","Russell, Ann E.",125,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"F-3153-2017","0000-0001-5410-3361",NA,"WOS:000268548000010",2,203,"J","2009",NA
"64",64,"Bruckner, A","Brueckner, Adrian",126,"Brueckner, Adrian",126,1,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000471073000020",3,13,"J","2019",NA
"126",126,"Bruckner, A","Brueckner, Adrian",126,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000427726200001",2,26,"J","2018",NA
"71",71,"von Beeren, C","von Beeren, Christoph",130,"von Beeren, Christoph",130,1,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000471073000020",9,13,"J","2019",NA
"130",130,"von Beeren, C","von Beeren, Christoph",130,"von Beeren, Christoph",187,1,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000427726200001",1,26,"J","2018",NA
"187",187,"von Beeren, C","von Beeren, Christoph",130,"von Beeren, Christoph",71,1,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000404870000003",3,44,"J","2017",NA
"202",202,"von Beeren, C","von Beeren, Christoph",130,"von Beeren, Christoph",71,1,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000387724300028",1,51,"J","2016",NA
"245",245,"von Beeren, C","von Beeren, Christoph",130,"von Beeren, Christoph",71,1,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000370653700012",1,62,"J","2016",NA
"1293",1293,"Donnelly, MA","Donnelly, MA",139,"Donnelly, Maureen A.",139,0.925,4,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000084139200013",1,388,"J","1999",NA
"139",139,"Donnelly, MA","Donnelly, Maureen A.",139,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000426725900042",2,29,"J","2018",NA
"198",198,"Donnelly, MA","Donnelly, Maureen A.",139,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000391031400012",2,50,"J","2016",NA
"320",320,"Donnelly, MA","Donnelly, Maureen A.",139,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000345523700005",4,84,"J","2014",NA
"472",472,"Donnelly, MA","Donnelly, Maureen A.",139,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000319469600009",6,125,"J","2013",NA
"519",519,"Donnelly, MA","Donnelly, Maureen A.",139,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000310729200009",4,137,"J","2012",NA
"875",875,"Donnelly, MA","Donnelly, Maureen A.",139,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000252100300023",5,238,"J","2007",NA
